"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-02","Canada","2016A000011124","All-items","Percent","239","units","0","v1211146964","1.1","100.00","","","","2"
"2020-02","Canada","2016A000011124","Food","Percent","239","units","0","v1211146965","1.2","16.70","","","","2"
"2020-02","Canada","2016A000011124","Meat","Percent","239","units","0","v1211146966","1.3","2.23","","","","2"
"2020-02","Canada","2016A000011124","Fish, seafood and other marine products","Percent","239","units","0","v1211146967","1.4","0.42","","","","2"
"2020-02","Canada","2016A000011124","Dairy products","Percent","239","units","0","v1211146968","1.5","1.43","","","","2"
"2020-02","Canada","2016A000011124","Eggs","Percent","239","units","0","v1211146969","1.6","0.16","","","","2"
"2020-02","Canada","2016A000011124","Bakery products","Percent","239","units","0","v1211146970","1.7","1.00","","","","2"
"2020-02","Canada","2016A000011124","Cereal products (excluding baby food)","Percent","239","units","0","v1211146971","1.8","0.61","","","","2"
"2020-02","Canada","2016A000011124","Fresh fruit","Percent","239","units","0","v1211146972","1.9","0.88","","","","2"
"2020-02","Canada","2016A000011124","Preserved fruit and fruit preparations","Percent","239","units","0","v1211146973","1.10","0.28","","","","2"
"2020-02","Canada","2016A000011124","Nuts and seeds","Percent","239","units","0","v1211146974","1.11","0.20","","","","2"
"2020-02","Canada","2016A000011124","Fresh vegetables","Percent","239","units","0","v1211146975","1.12","1.13","","","","2"
"2020-02","Canada","2016A000011124","Preserved vegetables and vegetable preparations","Percent","239","units","0","v1211146976","1.13","0.34","","","","2"
"2020-02","Canada","2016A000011124","Sugar and confectionery","Percent","239","units","0","v1211146977","1.14","0.48","","","","2"
"2020-02","Canada","2016A000011124","Edible fats and oils","Percent","239","units","0","v1211146978","1.15","0.10","","","","2"
"2020-02","Canada","2016A000011124","Coffee and tea","Percent","239","units","0","v1211146979","1.16","0.36","","","","2"
"2020-02","Canada","2016A000011124","Condiments, spices and vinegars","Percent","239","units","0","v1211146980","1.17","0.38","","","","2"
"2020-02","Canada","2016A000011124","Other food preparations","Percent","239","units","0","v1211146981","1.18","1.06","","","","2"
"2020-02","Canada","2016A000011124","Non-alcoholic beverages","Percent","239","units","0","v1211146982","1.19","0.50","","","","2"
"2020-02","Canada","2016A000011124","Food purchased from restaurants","Percent","239","units","0","v1211146983","1.20","5.14","","","","2"
"2020-02","Canada","2016A000011124","Shelter","Percent","239","units","0","v1211146984","1.21","26.66","","","","2"
"2020-02","Canada","2016A000011124","Rent","Percent","239","units","0","v1211146985","1.22","6.34","","","","2"
